eon,era,period,epoch,age,major_events,start
Phanerozoic,Cenozoic[e],Quaternary,Holocene,Meghalayan,"4.2 kiloyear event, Little Ice Age, increasing industrial CO2.",0.0042*
Phanerozoic,Cenozoic[e],Quaternary,Holocene,Northgrippian,"8.2 kiloyear event, Holocene climatic optimum. Bronze Age.",0.0082*
Phanerozoic,Cenozoic[e],Quaternary,Holocene,Greenlandian,Current interglacial begins. Sea level flooding of Doggerland and Sundaland. Sahara desert forms. Neolithic agriculture.,0.0117*
Phanerozoic,Cenozoic[e],Quaternary,Pleistocene,Late ('Tarantian'),"Eemian interglacial, Last glacial period, ending with Younger Dryas. Toba eruption. Megafauna extinction.",0.129
Phanerozoic,Cenozoic[e],Quaternary,Pleistocene,Chibanian,High amplitude 100 ka glacial cycles. Rise of Homo sapiens.,0.774
Phanerozoic,Cenozoic[e],Quaternary,Pleistocene,Calabrian,Further cooling of the climate. Spread of Homo erectus.,1.8*
Phanerozoic,Cenozoic[e],Quaternary,Pleistocene,Gelasian,Start of Quaternary glaciations. Rise of the Pleistocene megafauna and Homo habilis.,2.58*
Phanerozoic,Cenozoic[e],Neogene,Pliocene,Piacenzian,Greenland ice sheet develops.[28] Australopithecus common in East Africa.[29],3.6*
Phanerozoic,Cenozoic[e],Neogene,Pliocene,Zanclean,Zanclean flooding of the Mediterranean Basin. Cooling climate. Ardipithecus in Africa.[29],5.333*
Phanerozoic,Cenozoic[e],Neogene,Miocene,Messinian,"Messinian Event with hypersaline lakes in empty Mediterranean Basin.  Moderate Icehouse climate, punctuated by ice ages and re-establishment of East Antarctic Ice Sheet; Gradual separation of human and chimpanzee ancestors. Sahelanthropus tchadensis in Africa.",7.246*
Phanerozoic,Cenozoic[e],Neogene,Miocene,Tortonian,"Messinian Event with hypersaline lakes in empty Mediterranean Basin.  Moderate Icehouse climate, punctuated by ice ages and re-establishment of East Antarctic Ice Sheet; Gradual separation of human and chimpanzee ancestors. Sahelanthropus tchadensis in Africa.",11.63*
Phanerozoic,Cenozoic[e],Neogene,Miocene,Serravallian,Warmer during middle Miocene climate optimum.[30] Extinctions in middle Miocene disruption.,13.82*
Phanerozoic,Cenozoic[e],Neogene,Miocene,Langhian,Warmer during middle Miocene climate optimum.[30] Extinctions in middle Miocene disruption.,15.97
Phanerozoic,Cenozoic[e],Neogene,Miocene,Burdigalian,"Orogeny in Northern Hemisphere. Start of Kaikoura Orogeny forming Southern Alps in New Zealand. Widespread forests slowly draw in massive amounts of CO2, gradually lowering the level of atmospheric CO2 from 650 ppmv down to around 100 ppmv during the Miocene.[31][f] Modern mammal and bird families become recognizable. Horses and mastodons diverse. Grasses become ubiquitous. Ancestor of apes, including humans.[32]",20.44
Phanerozoic,Cenozoic[e],Neogene,Miocene,Aquitanian,"Orogeny in Northern Hemisphere. Start of Kaikoura Orogeny forming Southern Alps in New Zealand. Widespread forests slowly draw in massive amounts of CO2, gradually lowering the level of atmospheric CO2 from 650 ppmv down to around 100 ppmv during the Miocene.[31][f] Modern mammal and bird families become recognizable. Horses and mastodons diverse. Grasses become ubiquitous. Ancestor of apes, including humans.[32]",23.03*
Phanerozoic,Cenozoic[e],Paleogene,Oligocene,Chattian,"Grande Coupure extinction. Start of widespread Antarctic glaciation.[33] Rapid evolution and diversification of fauna, especially mammals. Major evolution and dispersal of modern types of flowering plants",28.1
Phanerozoic,Cenozoic[e],Paleogene,Oligocene,Rupelian,"Grande Coupure extinction. Start of widespread Antarctic glaciation.[33] Rapid evolution and diversification of fauna, especially mammals. Major evolution and dispersal of modern types of flowering plants",33.9*
Phanerozoic,Cenozoic[e],Paleogene,Eocene,Priabonian,"Moderate, cooling climate. Archaic mammals (e.g. Creodonts, ""Condylarths"", Uintatheres, etc.) flourish and continue to develop during the epoch. Appearance of several ""modern"" mammal families. Primitive whales diversify. Reglaciation of Antarctica and formation of its ice cap; End of Laramide and Sevier Orogenies of the Rocky Mountains in North America. Orogeny of the Alps in Europe begins. Hellenic Orogeny begins in Greece and Aegean Sea.",37.8
Phanerozoic,Cenozoic[e],Paleogene,Eocene,Bartonian,"Moderate, cooling climate. Archaic mammals (e.g. Creodonts, ""Condylarths"", Uintatheres, etc.) flourish and continue to develop during the epoch. Appearance of several ""modern"" mammal families. Primitive whales diversify. Reglaciation of Antarctica and formation of its ice cap; End of Laramide and Sevier Orogenies of the Rocky Mountains in North America. Orogeny of the Alps in Europe begins. Hellenic Orogeny begins in Greece and Aegean Sea.",41.2
